,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
130,033100,KR7033100009,제룡전기,KOSDAQ,우량기업부,56300,1,1900,3.49,56300,58700,55400,724453,41318041800,904313626700,16062409,KSQ
131,036810,KR7036810000,에프에스티,KOSDAQ,우량기업부,41150,2,-2600,-5.94,44150,44750,40900,239615,10166930950,903503720200,21956348,KSQ
132,241710,KR7241710003,코스메카코리아,KOSDAQ,우량기업부,83500,2,-17900,-17.65,96700,96700,82700,647863,55195442300,891780000000,10680000,KSQ
133,475960,KR7475960001,토모큐브,KOSDAQ,기술성장기업부,66300,1,9000,15.71,58400,67500,57500,467120,29875713000,887311066200,13383274,KSQ
134,476060,KR7476060009,온코닉테라퓨틱스,KOSDAQ,기술성장기업부,19580,1,690,3.65,19180,19900,18650,1106148,21491971775,878903907200,44887840,KSQ
135,078160,KR7078160009,메디포스트,KOSDAQ,벤처기업부,21800,1,350,1.63,21250,22200,20550,392448,8370816975,854660345400,39204603,KSQ
136,121600,KR7121600001,나노신소재,KOSDAQ,우량기업부,69600,2,-1600,-2.25,72800,73500,69600,87373,6183573250,849898893600,12211191,KSQ
137,089970,KR7089970008,브이엠,KOSDAQ,우량기업부,34650,2,-650,-1.84,35650,36550,34250,397034,13989175100,845865231750,24411695,KSQ
138,025980,KR7025980004,아난티,KOSDAQ,우량기업부,8860,1,60,0.68,8890,9220,8800,2646417,23878568605,839037888960,94699536,KSQ
139,102710,KR7102710001,이엔에프테크놀로지,KOSDAQ,우량기업부,58600,2,-1600,-2.66,60600,60600,57900,156889,9247219550,837267189600,14287836,KSQ
140,009520,KR7009520008,포스코엠텍,KOSDAQ GLOBAL,우량기업부,19980,2,-420,-2.06,20850,20900,19940,384913,7775788625,832021205940,41642703,KSQ
141,042000,KR7042000000,카페24,KOSDAQ,기술성장기업부,34250,2,-1050,-2.97,35950,35950,34200,125250,4351633575,830667099500,24253054,KSQ
142,214430,KR7214430001,아이쓰리시스템,KOSDAQ,우량기업부,113000,2,-6500,-5.44,119100,119100,110900,56053,6363959700,825715295000,7307215,KSQ
143,067160,KR7067160002,SOOP,KOSDAQ GLOBAL,우량기업부,71800,1,1800,2.57,70300,72200,70100,101283,7199327050,825324270600,11494767,KSQ
144,468530,KR7468530001,프로티나,KOSDAQ,기술성장기업부,75300,1,7900,11.72,67600,76200,66000,296792,21491052900,823742844000,10939480,KSQ
145,032500,KR7032500001,케이엠더블유,KOSDAQ,중견기업부,19750,2,-1200,-5.73,21050,21050,19560,322773,6449080670,813848599000,41207524,KSQ
